time,value,timestamp,range,voltage,direction,sequence
50.79095768928528,10820990.0,2025-11-07 15:32:46.691380,2000000.0,50,#2,1
51.463438749313354,10820990.0,2025-11-07 15:32:47.360644,2000000.0,50,#2,1
52.153987884521484,10823950.0,2025-11-07 15:32:48.053551,2000000.0,50,#2,1
52.83669185638428,10823950.0,2025-11-07 15:32:48.676544,,50,#2,1
58.39574193954468,10824390.0,2025-11-07 15:32:54.300996,2000000.0,50,#2,1
59.071709871292114,10824390.0,2025-11-07 15:32:54.970233,2000000.0,50,#2,1
59.763622760772705,10824390.0,2025-11-07 15:32:55.666152,2000000.0,50,#2,1
9.059906005859375e-06,10824460.0,2025-11-07 15:33:03.943101,2000000.0,50,#3,2
0.668828010559082,10824460.0,2025-11-07 15:33:04.612299,2000000.0,50,#3,2
1.3599960803985596,10824350.0,2025-11-07 15:33:05.305150,2000000.0,50,#3,2
2.028620958328247,10824350.0,2025-11-07 15:33:05.974187,2000000.0,50,#3,2
2.697404146194458,10824930.0,2025-11-07 15:33:06.641913,2000000.0,50,#3,2
3.38997220993042,10824930.0,2025-11-07 15:33:07.334471,2000000.0,50,#3,2
4.059450149536133,10824930.0,2025-11-07 15:33:07.958466,,50,#3,2
9.633288145065308,10824450.0,2025-11-07 15:33:13.580700,2000000.0,50,#3,2
10.305204153060913,10824210.0,2025-11-07 15:33:14.250858,2000000.0,50,#3,2
10.998085021972656,10824450.0,2025-11-07 15:33:14.943051,2000000.0,50,#3,2
11.667013168334961,10824510.0,2025-11-07 15:33:15.612045,2000000.0,50,#3,2
12.332880020141602,10824510.0,2025-11-07 15:33:16.281186,2000000.0,50,#3,2
13.027821063995361,10824420.0,2025-11-07 15:33:16.973916,2000000.0,50,#3,2
13.698559999465942,10824420.0,2025-11-07 15:33:17.597071,,50,#3,2
19.272303104400635,10824420.0,2025-11-07 15:33:23.216314,2000000.0,50,#3,2
19.941713094711304,10824410.0,2025-11-07 15:33:23.890554,2000000.0,50,#3,2
20.637543201446533,10824440.0,2025-11-07 15:33:24.598493,2000000.0,50,#3,2
21.324480056762695,10824440.0,2025-11-07 15:33:25.222064,,50,#3,2
26.895610094070435,,2025-11-07 15:33:35.736368,2000000.0,50,#3,2
32.46085715293884,10824410.0,2025-11-07 15:33:36.407488,2000000.0,50,#3,2
33.13244819641113,10824440.0,2025-11-07 15:33:37.078384,2000000.0,50,#3,2
33.800097942352295,10824400.0,2025-11-07 15:33:37.749069,2000000.0,50,#3,2
34.49699807167053,10824520.0,2025-11-07 15:33:38.440256,2000000.0,50,#3,2
35.16441011428833,10824620.0,2025-11-07 15:33:39.110413,2000000.0,50,#3,2
35.83033013343811,10824620.0,2025-11-07 15:33:39.780424,2000000.0,50,#3,2
36.52449011802673,10824620.0,2025-11-07 15:33:40.473071,2000000.0,50,#3,2
37.19875121116638,10824620.0,2025-11-07 15:33:41.097991,,50,#3,2
42.77200508117676,10823930.0,2025-11-07 15:33:46.717294,2000000.0,50,#3,2
43.442949056625366,10824630.0,2025-11-07 15:33:47.392487,2000000.0,50,#3,2
44.13750696182251,10824210.0,2025-11-07 15:33:48.084381,2000000.0,50,#3,2
44.8063280582428,10824550.0,2025-11-07 15:33:48.754408,2000000.0,50,#3,2
45.475353956222534,10824550.0,2025-11-07 15:33:49.422748,2000000.0,50,#3,2
46.167309045791626,10824560.0,2025-11-07 15:33:50.114807,2000000.0,50,#3,2
46.83890509605408,10824560.0,2025-11-07 15:33:50.738612,,50,#3,2
52.410412073135376,10824560.0,2025-11-07 15:33:56.357774,2000000.0,50,#3,2
53.08303713798523,10824520.0,2025-11-07 15:33:57.029682,2000000.0,50,#3,2
53.77671217918396,10824500.0,2025-11-07 15:33:57.721474,2000000.0,50,#3,2
54.44661903381348,10824500.0,2025-11-07 15:33:58.392452,2000000.0,50,#3,2
55.11697816848755,10824500.0,2025-11-07 15:33:59.061876,2000000.0,50,#3,2
55.81036996841431,10824450.0,2025-11-07 15:33:59.754480,2000000.0,50,#3,2
56.47634696960449,10824450.0,2025-11-07 15:34:00.376787,,50,#3,2
5.0067901611328125e-06,10824480.0,2025-11-07 15:34:13.622310,2000000.0,50,#4,3
0.6780810356140137,10824480.0,2025-11-07 15:34:14.300757,2000000.0,50,#4,3
1.3572170734405518,10824440.0,2025-11-07 15:34:14.969426,2000000.0,50,#4,3
2.025099992752075,10824440.0,2025-11-07 15:34:15.637771,2000000.0,50,#4,3
2.7037041187286377,10824360.0,2025-11-07 15:34:16.327906,2000000.0,50,#4,3
3.4059319496154785,10824450.0,2025-11-07 15:34:17.019299,2000000.0,50,#4,3
4.083723068237305,10824430.0,2025-11-07 15:34:17.736813,2000000.0,50,#4,3
4.815906047821045,10824430.0,2025-11-07 15:34:18.429785,2000000.0,50,#4,3
5.496556997299194,10824430.0,2025-11-07 15:34:19.145824,2000000.0,50,#4,3
6.220582008361816,10824350.0,2025-11-07 15:34:19.838605,2000000.0,50,#4,3
6.893773078918457,10824430.0,2025-11-07 15:34:20.508023,2000000.0,50,#4,3
7.563565015792847,10824430.0,2025-11-07 15:34:21.192331,2000000.0,50,#4,3
8.247375011444092,10824430.0,2025-11-07 15:34:21.865778,2000000.0,50,#4,3
8.921916961669922,10824430.0,2025-11-07 15:34:22.489695,,50,#4,3
14.491384029388428,,2025-11-07 15:34:33.000855,2000000.0,50,#4,3
20.06679916381836,10824480.0,2025-11-07 15:34:33.680644,2000000.0,50,#4,3
20.73525905609131,10824480.0,2025-11-07 15:34:34.351509,2000000.0,50,#4,3
21.404199838638306,10824480.0,2025-11-07 15:34:35.022309,2000000.0,50,#4,3
22.09727692604065,10824480.0,2025-11-07 15:34:35.714364,2000000.0,50,#4,3
22.770832061767578,10824440.0,2025-11-07 15:34:36.384409,2000000.0,50,#4,3
23.43973183631897,10824480.0,2025-11-07 15:34:37.053522,2000000.0,50,#4,3
24.13073706626892,10824480.0,2025-11-07 15:34:37.746148,2000000.0,50,#4,3
24.800163984298706,10824480.0,2025-11-07 15:34:38.369972,,50,#4,3
30.376752138137817,10824480.0,2025-11-07 15:34:43.994068,2000000.0,50,#4,3
31.049224853515625,10824480.0,2025-11-07 15:34:44.669440,2000000.0,50,#4,3
31.74554204940796,10824480.0,2025-11-07 15:34:45.360336,2000000.0,50,#4,3
32.4175181388855,10824440.0,2025-11-07 15:34:46.030558,2000000.0,50,#4,3
33.08342385292053,10824460.0,2025-11-07 15:34:46.699653,2000000.0,50,#4,3
33.77756214141846,10824460.0,2025-11-07 15:34:47.390830,2000000.0,50,#4,3
34.448238134384155,10824460.0,2025-11-07 15:34:48.060878,2000000.0,50,#4,3
35.116169929504395,10824490.0,2025-11-07 15:34:48.730182,2000000.0,50,#4,3
35.80719208717346,10824510.0,2025-11-07 15:34:49.421876,2000000.0,50,#4,3
36.47859001159668,10824520.0,2025-11-07 15:34:50.092955,2000000.0,50,#4,3
37.148892879486084,10824520.0,2025-11-07 15:34:50.765562,2000000.0,50,#4,3
37.844242811203,10824520.0,2025-11-07 15:34:51.457604,2000000.0,50,#4,3
